"","E","N","group","country","long","lat"
"11308",4952,5387,21,40,27.255248186145,70.9062590960973
"11309",4950,5391,21,40,27.233377999265,70.9457682213619
"11310",4951,5397,21,40,27.3053081939557,70.9959535153259
"11311",4958,5409,21,40,27.5818305210145,71.0847281692496
"11312",4963,5410,21,40,27.7210804266185,71.0818474672773
"11313",4967,5408,21,40,27.8103137296992,71.0550551876305
"11314",4979,5409,21,40,28.1326568875443,71.0354192336184
"11315",4990,5405,21,40,28.3876505276752,70.9742192081408
"11316",4993,5393,21,40,28.3686835357602,70.8626215756528
"11317",4992,5388,21,40,28.3026550794647,70.821540653286
"11318",4991,5385,21,40,28.2528299402625,70.7978406366213
"11319",4982,5373,21,40,27.9258534151548,70.7147248275412
"11320",4982,5368,21,40,27.8869791296696,70.6711529983997
"11321",4885,5397,22,40,25.5636661028773,71.1388374374686
"11322",4896,5395,22,40,25.8414375708473,71.0984535706298
"11323",4899,5396,22,40,25.9279665948696,71.1009692504296
"11324",4906,5390,22,40,26.0702910191549,71.033453512922
"11325",4908,5391,22,40,26.1301966879491,71.0379998754369
"11326",4909,5386,22,40,26.120806695196,70.9919376498656
"11327",4905,5383,22,40,25.9942248955806,70.9740287684621
"11328",4898,5380,22,40,25.7889485405877,70.9622960221905
"11329",4897,5378,22,40,25.7487038935743,70.9467730580095
"11330",4890,5378,22,40,25.5644790376994,70.9612140159292
"11331",4885,5383,22,40,25.4669629965251,71.015488223473
"11332",4879,5383,22,40,25.3083835102468,71.0276608249451
"11333",4878,5385,22,40,25.2955215436811,71.0473144624091
"11334",4881,5391,22,40,25.4160206815921,71.094137206388
"11335",4885,5397,22,40,25.5636661028773,71.1388374374686
"11336",3627,5396,23,40,-8.96242132336464,70.834783304456
"11337",3623,5396,23,40,-9.06566605270073,70.8248078656325
"11338",3622,5399,23,40,-9.1165111805674,70.8482984975592
"11339",3629,5404,23,40,-8.97716461098049,70.9091241772468
"11340",3649,5412,23,40,-8.52297249410094,71.0278036970773
"11341",3659,5422,23,40,-8.34281525020727,71.1389809556788
"11342",3672,5422,23,40,-8.00070167865601,71.1700436992277
"11343",3671,5416,23,40,-7.97892746670761,71.1153889742671
"11344",3667,5408,23,40,-8.0199538478983,71.036212661149
"11345",3655,5404,23,40,-8.30136171336189,70.9727498820714
"11346",3642,5403,23,40,-8.63157199166039,70.932530588447
"11347",3627,5396,23,40,-8.96242132336464,70.834783304456
"11348",4602,5708,24,40,19.2026584112688,74.3875259466313
"11349",4599,5703,24,40,19.0806421048616,74.3460392582473
"11350",4592,5709,24,40,18.8843465974897,74.4087468215377
"11351",4588,5716,24,40,18.7889402155307,74.4768160961228
